InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
4.055500,41.5699,0.003675,-0.232251,6.135490,38.4992,0.011156999999999999,-0.484896,0,5.49252
4.361800,76.8254,-0.000709,0.076769,7.058920,84.3901,0.003078,-0.266032,0,5.50643
3.424260,79.8111,0.000118,-0.015303,1.651170,59.0352,-0.002727,0.166379,0,5.273
1.268280,135.842,-0.000826,0.10890699999999999,0.629748,39.0251,-0.003908,0.311631,0,5.00363
0.947507,48.9103,0.00095,-0.042526,3.256880,67.6674,0.002966,-0.156445,0,5.41721
6.497210,115.778,0.0010630000000000001,-0.135365,6.728000,50.0628,-0.001072,-0.016669999999999997,0,5.37659
5.274690,38.3522,-0.003804,0.06905800000000001,5.404900,53.5435,-0.0019,0.058043,0,5.32653
2.818210,63.4286,-0.003914,0.21370799999999998,3.851990,38.9632,0.001779,-0.099881,0,5.01575
6.880300,47.634,0.002137,-0.09035599999999999,5.407260,48.9954,-0.000598,-0.04916,0,5.21475
5.970840,42.676,0.006052,-0.278886,2.466930,38.708,-0.0043950000000000005,0.134797,0,5.445
6.927170,51.0915,0.007233,-0.43990100000000004,3.393090,100.688,-0.001657,0.144786,0,4.520630000000001
1.521750,79.3238,0.001067,-0.064881,6.129760,58.7645,0.001419,-0.14335599999999998,0,5.1317900000000005
4.156440,49.5987,-0.003089,0.079295,4.225120,37.9267,-0.002375,0.08277000000000001,0,5.33515
4.056990,66.569,-0.00011899999999999999,0.007398999999999999,2.425430,40.3091,-0.004268999999999999,0.258076,0,5.092969999999999
3.127850,49.444,-0.005337,0.295009,0.198267,49.2738,0.0013109999999999999,0.026432,0,5.46866
5.187840,87.4145,0.001419,-0.146001,4.685660,43.318,-0.00143,-0.030420999999999997,0,5.37444
1.490560,42.4981,0.005111,-0.09472699999999999,0.358428,37.7102,-0.004508,0.232066,0,5.39121
3.205840,40.4561,0.006529000000000001,-0.273982,5.707070,61.5181,-0.002135,0.119768,0,5.12835
4.144280,93.6333,0.001065,-0.10895899999999999,7.027680,81.8454,0.001537,-0.174977,0,4.80799
6.311380,59.7701,0.005099,-0.30378499999999997,5.407700,48.3379,0.008189,-0.373571,0,4.89484
3.251870,40.4948,0.0057009999999999995,-0.175868,2.644560,46.5898,0.00047400000000000003,-0.034298,0,5.24015
4.056990,66.569,0.001065,-0.10895899999999999,2.425430,40.3091,-0.004268999999999999,0.258076,1,5.361190000000001
4.245440,107.293,-0.000113,0.007398999999999999,7.027680,81.8454,0.001537,-0.174977,1,4.75103
2.968370,53.2308,-0.005784,0.252399,7.153710,138.503,0.00045999999999999996,-0.067998,1,4.95594
6.545050,48.4926,0.00225,-0.17781,0.403980,48.0826,-0.004622,0.317063,1,5.25828
3.874050,114.997,0.001064,-0.124142,5.404990,39.2727,0.008075,-0.277617,1,5.48027
2.902960,55.5814,-0.0013050000000000002,0.060049,2.627940,46.9998,0.002134,-0.133338,1,4.91472
7.040930,41.9489,0.002607,-0.19195299999999998,5.233760,75.789,-0.000121,-0.028681,1,5.83902
7.040930,42.6409,0.002607,-0.19195299999999998,4.647180,75.789,-0.00011399999999999999,-0.028681,1,5.37239
5.944570,58.8032,0.005335,-0.333342,4.622280,38.476,0.011635,-0.441234,1,5.16059
3.881290,103.248,0.001538,-0.149041,2.661990,53.1954,-0.002611,0.11264,1,5.17652
1.968920,68.2552,0.000949,-0.046939999999999996,2.893930,61.398,-0.001302,0.093083,1,5.22412
2.659810,39.6498,-0.005458,0.26669499999999996,5.330040,45.1202,-0.004674,0.17758,1,5.4234
6.367150,56.2507,0.0024100000000000002,-0.137773,4.759620,46.6672,0.005456,-0.294025,1,4.94767
4.447780,45.4373,0.007598000000000001,-0.297516,4.570440,38.6992,-0.004868,0.180373,1,5.2636
3.876530,38.3522,0.006402,-0.169101,5.327770,53.5435,-0.0019,0.051779,1,5.32964
5.397620,38.8704,-0.003804,0.06905800000000001,2.865680,115.152,-0.0009460000000000001,0.10358800000000001,1,4.83323
0.399468,52.6926,-0.001422,0.097979,2.225640,38.9787,0.010320000000000001,-0.273307,1,5.32996
1.130210,135.842,-0.000826,0.106422,0.629748,39.0251,-0.003908,0.311631,1,4.89927
